date,arr_usd,source_label,arr_type,confidence,source_type,prev_date,prev_arr,days_since_prev,growth_vs_prev_pct,growth_annualized_pct,growth_mom_equivalent_pct
2023-10-01,100000000.0,October 2023 100M,Annualized run rate,Likely,Media report,,,,,,
2024-01-01,87000000.0,2024 87M,Annualized run rate,Confident,Company disclosure,2023-10-01,100000000.0,92,-13.0,-42.4,-4.4
2024-12-31,1000000000.0,December 2024 1B,Annualized run rate,Likely,Media report,2024-01-01,87000000.0,365,1049.4,1049.4,22.2
2025-03-01,1400000000.0,March 2025 1.4B,Annualized run rate,Likely,Media report,2024-12-31,1000000000.0,60,40.0,674.4,18.3
2025-03-31,2000000000.0,March 2025 2B,Annualized run rate,Confident,Company disclosure,2025-03-01,1400000000.0,30,42.9,7567.3,42.9
2025-05-30,3000000000.0,May 2025 3B,Annualized run rate,Likely,Media report,2025-03-31,2000000000.0,60,50.0,1078.2,22.5
2025-07-01,4000000000.0,July 2025 4B,Annualized run rate,Likely,Media report,2025-05-30,3000000000.0,32,33.3,2561.2,31.0
2025-07-29,5000000000.0,July 2025 5B,Annual recurring revenue (ARR),Likely,Company disclosure,2025-07-01,4000000000.0,28,25.0,1733.5,27.0
2025-10-21,7000000000.0,Oct 2025 7B,Annualized run rate,Confident,Company disclosure,2025-07-29,5000000000.0,84,40.0,331.5,12.8
2025-12-31,9000000000.0,end-2025 9B,Annualized run rate,Likely,Media report,2025-10-21,7000000000.0,71,28.6,264.0,11.2
2026-02-12,14000000000.0,Feb 2026 14B,Annualized run rate,Confident,Company disclosure,2025-12-31,9000000000.0,43,55.6,4154.0,36.1
2026-03-03,19000000000.0,March 2026 19B,Annualized run rate,Confident,"Company disclosure,Media report",2026-02-12,14000000000.0,19,35.7,35202.6,62.0
2026-04-06,30000000000.0,Anthropic 30B April,Annualized run rate,Confident,Company disclosure,2026-03-03,19000000000.0,34,57.9,13375.2,49.6
2026-05-14,47000000000.0,May 2026 47B,Annualized run rate,Likely,Company disclosure,2026-04-06,30000000000.0,38,56.7,7361.1,42.5
