date,arr_usd,source_label,arr_type,confidence,source_type,prev_date,prev_arr,days_since_prev,growth_vs_prev_pct,growth_annualized_pct,growth_mom_equivalent_pct
2022-12-31,28000000.0,2022 28M,,Likely,Media report,,,,,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2022-12-31,28000000.0,2022 28M,,Likely,Media report,2022-12-31,28000000.0,0,0.0,,
2023-03-01,200000000.0,March 2023 100Ms,Annualized run rate,Likely,Media report,2022-12-31,28000000.0,60,614.3,15645340.1,167.3
2023-08-29,1000000000.0,Aug 2023 1B,Annualized run rate,Likely,Media report,2023-03-01,200000000.0,181,400.0,2467.6,30.6
2023-10-10,1300000000.0,1.3B Oct 2023,Annualized run rate,Likely,Media report,2023-08-29,1000000000.0,42,30.0,877.7,20.6
2023-12-30,1600000000.0,1.6B Dec 2023,Annualized run rate,Confident,Media report,2023-10-10,1300000000.0,81,23.1,154.9,8.0
2023-12-31,2000000000.0,Dec 2023 2B,Annualized run rate,Likely,Media report,2023-12-30,1600000000.0,1,25.0,2.355888585287316e+37,80679.4
2024-06-12,3400000000.0,June 2024 3.4B,Annualized run rate,Likely,Media report,2023-12-31,2000000000.0,164,70.0,225.8,10.2
2024-08-15,3600000000.0,August 2024 3.6B,Annualized run rate,Likely,Media report,2024-06-12,3400000000.0,64,5.9,38.5,2.7
2024-09-12,4000000000.0,Sep 2024 4B,Annual recurring revenue (ARR),Likely,Media report,2024-08-15,3600000000.0,28,11.1,294.9,12.0
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-09-12,4000000000.0,110,-7.5,-22.8,-2.1
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,3700000000.0,2024 3.7B,,Likely,Media report,2024-12-31,3700000000.0,0,0.0,,
2024-12-31,5500000000.0,Dec 2024 5.5B,Annual recurring revenue (ARR),Likely,Media report,2024-12-31,3700000000.0,0,48.6,,
2025-06-09,10000000000.0,June 2025 10B,Annual recurring revenue (ARR),Likely,Company disclosure,2024-12-31,5500000000.0,160,81.8,291.1,11.9
2025-07-30,12000000000.0,July 2025 12B,Annualized run rate,Confident,Company disclosure,2025-06-09,10000000000.0,51,20.0,268.7,11.3
2025-08-01,13000000000.0,August 2025 13B,Annual recurring revenue (ARR),Likely,Media report,2025-07-30,12000000000.0,2,8.3,220843283.5,232.2
2025-12-18,19000000000.0,Dec 2025 19B,Annualized run rate,Likely,Media report,2025-08-01,13000000000.0,139,46.2,170.9,8.5
2025-12-31,21400000000.0,21B end-2025,Annualized run rate,Likely,Media report,2025-12-18,19000000000.0,13,12.6,2721.4,31.6
2026-02-28,25000000000.0,March 2026 25B,Annualized run rate,Likely,Media report,2025-12-31,21400000000.0,59,16.8,161.7,8.2
