quarter,calendar_year,calendar_q,period_end,company,capex_bn
2020-Q1,2020,1,2020-03-31,Alphabet,5.93
2020-Q1,2020,1,2020-03-31,Amazon,8.18
2020-Q1,2020,1,2020-03-31,Meta,3.73
2020-Q1,2020,1,2020-03-31,Microsoft,4.71
2020-Q2,2020,2,2020-06-30,Alphabet,5.37
2020-Q2,2020,2,2020-06-30,Amazon,9.59
2020-Q2,2020,2,2020-06-30,Meta,3.32
2020-Q2,2020,2,2020-06-30,Microsoft,4.1
2020-Q3,2020,3,2020-08-31,Oracle,0.47
2020-Q3,2020,3,2020-09-30,Alphabet,6.05
2020-Q3,2020,3,2020-09-30,Amazon,11.07
2020-Q3,2020,3,2020-09-30,Meta,3.47
2020-Q3,2020,3,2020-09-30,Microsoft,5.24
2020-Q4,2020,4,2020-11-30,Oracle,0.49
2020-Q4,2020,4,2020-12-31,Alphabet,6.3
2020-Q4,2020,4,2020-12-31,Amazon,13.43
2020-Q4,2020,4,2020-12-31,Meta,4.82
2020-Q4,2020,4,2020-12-31,Microsoft,5.16
2021-Q1,2021,1,2021-02-28,Oracle,0.53
2021-Q1,2021,1,2021-03-31,Alphabet,5.94
2021-Q1,2021,1,2021-03-31,Amazon,16.04
2021-Q1,2021,1,2021-03-31,Meta,4.52
2021-Q1,2021,1,2021-03-31,Microsoft,5.05
2021-Q2,2021,2,2021-05-31,Oracle,0.63
2021-Q2,2021,2,2021-06-30,Alphabet,6.0
2021-Q2,2021,2,2021-06-30,Amazon,16.88
2021-Q2,2021,2,2021-06-30,Meta,4.63
2021-Q2,2021,2,2021-06-30,Microsoft,5.51
2021-Q3,2021,3,2021-08-31,Oracle,0.8
2021-Q3,2021,3,2021-09-30,Alphabet,6.14
2021-Q3,2021,3,2021-09-30,Amazon,16.74
2021-Q3,2021,3,2021-09-30,Meta,5.01
2021-Q3,2021,3,2021-09-30,Microsoft,6.03
2021-Q4,2021,4,2021-11-30,Oracle,0.95
2021-Q4,2021,4,2021-12-31,Alphabet,7.19
2021-Q4,2021,4,2021-12-31,Amazon,16.91
