release_date,model_name,organization,eci,eci_ci_low,eci_ci_high,model_slug
2026-06-09,Claude Fable 5,Anthropic,160.7426508607069,156.82857251911167,167.9561362034339,claude-fable-5
2026-04-23,GPT-5.5 Pro,OpenAI,159.8733691027478,156.35784120124316,166.70844435441185,gpt-5-5-pro
2026-04-23,GPT-5.5,OpenAI,158.5897048220599,155.23028328924212,165.08278566375586,gpt-5-5
2026-03-05,GPT-5.4 Pro,OpenAI,157.7104106980894,154.14876895829417,164.51527531968281,gpt-5-4-pro
2026-05-28,Claude Opus 4.8,Anthropic,156.63126265167776,152.75545046876667,163.5709483490357,claude-opus-4-8
2026-03-05,GPT-5.4,OpenAI,156.17870445901968,152.91113048399876,162.8650445285205,gpt-5-4
2026-04-16,Claude Opus 4.7,Anthropic,155.55885789993786,152.31932754486974,161.8324014294239,claude-opus-4-7
2026-02-05,GPT-5.3 Codex,OpenAI,155.55312652572385,151.48564760977496,162.62266444066785,gpt-5-3-codex
2026-02-19,Gemini 3.1 Pro,Google DeepMind,155.5153070343635,152.04363319048275,162.2039650877021,gemini-3-1-pro
2026-05-19,Gemini 3.5 Flash,Google,155.26050087050425,151.98533238564545,161.89275098347636,gemini-3-5-flash
2025-12-11,GPT-5.2 Pro,OpenAI,154.87785764687413,151.011464095696,161.92106480551996,gpt-5-2-pro
2026-04-08,Muse Spark,Meta AI,154.87766108311428,150.47680435553838,161.48938260591268,muse-spark
2026-02-05,Claude Opus 4.6,Anthropic,154.74482748461227,151.08001439609959,161.00077985510637,claude-opus-4-6
2026-02-17,Grok 4.20,xAI,154.0850320986534,149.0499487384908,160.849183768083,grok-4-20
2026-05-19,Qwen3.7-Max,Alibaba,153.99148099749416,150.40675964547302,160.71006332381052,qwen3-7-max
2025-12-11,GPT-5.2,OpenAI,153.62086104528237,149.98156671461595,159.87984518354983,gpt-5-2
2025-11-18,Gemini 3 Pro,Google DeepMind,153.22524445914195,149.8461214257811,159.96648087317382,gemini-3-pro
2026-02-17,Claude Sonnet 4.6,Anthropic,152.48472139258948,148.85692353443622,158.97931583479007,claude-sonnet-4-6
2026-04-20,Kimi K2.6,Moonshot,152.15930793500414,148.6304952785883,158.6246157967852,kimi-k2-6
2025-12-17,Gemini 3 Flash,Google DeepMind,150.68799296228667,145.71762674485657,157.21916212677618,gemini-3-flash
2026-04-20,Qwen 3.6 Max (Preview),Alibaba,150.6162366875436,146.57578635506778,157.2834695670356,qwen-3-6-max-preview
2025-10-07,GPT-5 Pro,OpenAI,150.4758154818552,146.81512833758677,157.13281647932823,gpt-5-pro
2026-06-12,Kimi K2.7 Code,Moonshot,150.07143501521807,145.97032756154218,156.50610734333068,kimi-k2-7-code
2025-08-07,GPT-5,OpenAI,150.0,146.4567810088684,156.21356703949232,gpt-5
2026-04-07,GLM-5.1,Z.ai (Zhipu AI),149.80811259049062,146.34749617625405,156.57539128701245,glm-5-1
2026-04-24,DeepSeek-V4-Pro,DeepSeek,149.737080071977,145.55136951146528,156.73362077736886,deepseek-v4-pro
2025-11-13,GPT-5.1,OpenAI,149.44365728053114,145.8384898685971,155.35447125906262,gpt-5-1
2025-11-24,Claude Opus 4.5,Anthropic,149.339411352441,146.17001731310617,155.66932193863192,claude-opus-4-5
