release_date,model_name,organization,eci,eci_ci_low,eci_ci_high,model_slug,accessibility,model_version
2026-08-13,Gemini 3.7 Flash,Google DeepMind,157.12,155.17,159.63,gemini-3-7-flash,API access,gemini-3.7-flash_unknown
2026-08-13,Gemini 3.7 Flash,Google DeepMind,157.12,155.17,159.63,gemini-3-7-flash,API access,gemini-3.7-flash_low
2026-08-13,Gemini 3.7 Flash,Google DeepMind,157.12,155.17,159.63,gemini-3-7-flash,API access,gemini-3.7-flash_medium
2026-08-13,Gemini 3.7 Flash,Google DeepMind,157.12,155.17,159.63,gemini-3-7-flash,API access,gemini-3.7-flash_high
2026-08-13,DeepSeek V4 Pro 0813,DeepSeek,155.18,153.53,157.17,deepseek-v4-pro-0813,Open weights (unrestricted),deepseek-v4-pro-0813_none
2026-08-13,DeepSeek V4 Pro 0813,DeepSeek,155.18,153.53,157.17,deepseek-v4-pro-0813,Open weights (unrestricted),deepseek-v4-pro-0813_high
2026-08-13,DeepSeek V4 Pro 0813,DeepSeek,155.18,153.53,157.17,deepseek-v4-pro-0813,Open weights (unrestricted),deepseek-v4-pro-0813_low
2026-08-13,DeepSeek V4 Pro 0813,DeepSeek,155.18,153.53,157.17,deepseek-v4-pro-0813,Open weights (unrestricted),deepseek-v4-pro-0813_unknown
2026-08-13,DeepSeek V4 Pro 0813,DeepSeek,155.18,153.53,157.17,deepseek-v4-pro-0813,Open weights (unrestricted),deepseek-v4-pro-0813_max
2026-08-12,Grok 4.6,xAI,156.15,154.48,158.27,grok-4-6,API access,grok-4.6_unknown
2026-08-12,Grok 4.6,xAI,156.15,154.48,158.27,grok-4-6,API access,grok-4.6_low
2026-08-12,Grok 4.6,xAI,156.15,154.48,158.27,grok-4-6,API access,grok-4.6_medium
2026-08-12,Grok 4.6,xAI,156.15,154.48,158.27,grok-4-6,API access,grok-4.6_xhigh
2026-08-12,Grok 4.6,xAI,156.15,154.48,158.27,grok-4-6,API access,grok-4.6_high
2026-08-05,Muse Spark 1.2,Meta AI,155.16,153.39,157.75,muse-spark-1-2,API access,muse-spark-1.2
2026-08-05,Muse Spark 1.2,Meta AI,155.16,153.39,157.75,muse-spark-1-2,API access,muse-spark-1.2_xhigh
2026-08-02,Qwen 3.8 Max,Alibaba,156.42,154.56,158.28,qwen-3-8-max,API access,qwen3.8-max_unknown
2026-08-02,Qwen 3.8 Max,Alibaba,156.42,154.56,158.28,qwen-3-8-max,API access,qwen3.8-max_xhigh
2026-07-31,DeepSeek V4 Flash 0731,DeepSeek,154.35,152.2,156.05,deepseek-v4-flash-0731,Open weights (unrestricted),deepseek-v4-flash-0731_none
2026-07-31,DeepSeek V4 Flash 0731,DeepSeek,154.35,152.2,156.05,deepseek-v4-flash-0731,Open weights (unrestricted),deepseek-v4-flash-0731_low
2026-07-31,DeepSeek V4 Flash 0731,DeepSeek,154.35,152.2,156.05,deepseek-v4-flash-0731,Open weights (unrestricted),deepseek-v4-flash-0731_high
2026-07-31,DeepSeek V4 Flash 0731,DeepSeek,154.35,152.2,156.05,deepseek-v4-flash-0731,Open weights (unrestricted),deepseek-v4-flash-0731_unknown
2026-07-31,DeepSeek V4 Flash 0731,DeepSeek,154.35,152.2,156.05,deepseek-v4-flash-0731,Open weights (unrestricted),deepseek-v4-flash-0731_max
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_unknown
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_medium
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_high
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_xhigh
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_low
2026-07-24,Claude Opus 5,Anthropic,161.59,158.91,164.69,claude-opus-5,API access,claude-opus-5_max
2026-07-21,Gemini 3.6 Flash,Google DeepMind,154.14,152.67,155.99,gemini-3-6-flash,API access,gemini-3.6-flash_unknown
2026-07-21,Gemini 3.6 Flash,Google DeepMind,154.14,152.67,155.99,gemini-3-6-flash,API access,gemini-3.6-flash_medium
2026-07-21,Gemini 3.6 Flash,Google DeepMind,154.14,152.67,155.99,gemini-3-6-flash,API access,gemini-3.6-flash_low
2026-07-21,Gemini 3.6 Flash,Google DeepMind,154.14,152.67,155.99,gemini-3-6-flash,API access,gemini-3.6-flash_minimal
2026-07-21,Gemini 3.6 Flash,Google DeepMind,154.14,152.67,155.99,gemini-3-6-flash,API access,gemini-3.6-flash_high
2026-07-21,Gemini 3.5 Flash-Lite,Google DeepMind,145.19,142.43,146.76,gemini-3-5-flash-lite,API access,gemini-3.5-flash-lite_medium
2026-07-21,Gemini 3.5 Flash-Lite,Google DeepMind,145.19,142.43,146.76,gemini-3-5-flash-lite,API access,gemini-3.5-flash-lite
2026-07-21,Gemini 3.5 Flash-Lite,Google DeepMind,145.19,142.43,146.76,gemini-3-5-flash-lite,API access,gemini-3.5-flash-lite_high
2026-07-21,Gemini 3.5 Flash-Lite,Google DeepMind,145.19,142.43,146.76,gemini-3-5-flash-lite,API access,gemini-3.5-flash-lite_minimal
2026-07-21,Gemini 3.5 Flash-Lite,Google DeepMind,145.19,142.43,146.76,gemini-3-5-flash-lite,API access,gemini-3.5-flash-lite_low
2026-07-16,Kimi K3,Moonshot,157.33,154.74,159.7,kimi-k3,Open weights (non-commercial),kimi-k3_unknown
2026-07-16,Kimi K3,Moonshot,157.33,154.74,159.7,kimi-k3,Open weights (non-commercial),kimi-k3_high
2026-07-16,Kimi K3,Moonshot,157.33,154.74,159.7,kimi-k3,Open weights (non-commercial),kimi-k3_max
2026-07-16,Kimi K3,Moonshot,157.33,154.74,159.7,kimi-k3,Open weights (non-commercial),kimi-k3_low
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_none
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_minimal
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_low
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_medium
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_high
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small
2026-07-15,Inkling-Small,Thinking Machines,150.17,147.16,151.86,inkling-small,Open weights (unrestricted),inkling-small_xhigh
2026-07-15,Inkling,Thinking Machines,148.73,145.82,150.63,inkling,Open weights (unrestricted),Inkling_high
2026-07-15,Inkling,Thinking Machines,148.73,145.82,150.63,inkling,Open weights (unrestricted),Inkling
2026-07-15,Inkling,Thinking Machines,148.73,145.82,150.63,inkling,Open weights (unrestricted),Inkling_xhigh
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_prounknown
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_proxhigh
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_unknown
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_xhigh
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_promax
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_high
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_max
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_medium
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_none
2026-07-09,GPT-5.6 Sol,OpenAI,161.06,158.72,164.44,gpt-5-6-sol,API access,gpt-5.6-sol_low
2026-07-09,GPT-5.6 Terra,OpenAI,158.86,156.35,161.41,gpt-5-6-terra,API access,gpt-5.6-terra_unknown
2026-07-09,GPT-5.6 Terra,OpenAI,158.86,156.35,161.41,gpt-5-6-terra,API access,gpt-5.6-terra_high
2026-07-09,GPT-5.6 Terra,OpenAI,158.86,156.35,161.41,gpt-5-6-terra,API access,gpt-5.6-terra_xhigh
