date,company,total_downloads,model_count,share_pct,avg_like_ratio,growth_7d_avg
2026-07-23,Sentence Transformers,445591427,6,28.8959,0.0,0.0435
2026-07-23,Community,255283109,32,16.5547,0.0001,0.0246
2026-07-23,Google,214274064,8,13.8953,0.0001,0.0101
2026-07-23,Alibaba,188028738,21,12.1934,0.0001,0.0799
2026-07-23,BAAI,153159252,7,9.9321,0.0,0.0284
2026-07-23,Meta,101331261,9,6.5712,0.0001,0.0371
2026-07-23,OpenAI,88018110,9,5.7078,0.0004,0.03
2026-07-23,Amazon,39838813,3,2.5835,0.0,0.0491
2026-07-23,Hugging Face,32207803,2,2.0886,0.0,-0.0309
2026-07-23,DeepSeek,9368615,1,0.6075,0.0014,0.0804
2026-07-23,NVIDIA,9281185,1,0.6019,0.0001,0.0791
2026-07-23,Mistral,5676238,1,0.3681,0.0005,0.0722
2026-07-22,Sentence Transformers,445073866,6,29.2272,0.0,0.0308
2026-07-22,Community,252444888,32,16.5776,0.0001,0.0022
2026-07-22,Google,211540987,8,13.8915,0.0001,-0.0242
2026-07-22,Alibaba,178221168,21,11.7035,0.0001,-0.0121
2026-07-22,BAAI,152875955,7,10.0391,0.0,0.0066
2026-07-22,Meta,101345196,9,6.6552,0.0001,0.0171
2026-07-22,OpenAI,87572190,9,5.7507,0.0004,0.0021
2026-07-22,Amazon,36877213,3,2.4217,0.0,-0.0154
2026-07-22,Hugging Face,33399966,2,2.1933,0.0,-0.026
2026-07-22,DeepSeek,9244864,1,0.6071,0.0015,0.0401
2026-07-22,NVIDIA,8635865,1,0.5671,0.0001,0.0062
2026-07-22,Mistral,5575350,1,0.3661,0.0005,0.0675
2026-07-21,Sentence Transformers,421736217,6,29.0465,0.0,-0.0135
2026-07-21,Community,240739864,32,16.5806,0.0001,-0.0372
2026-07-21,Google,197844716,8,13.6263,0.0001,-0.0507
2026-07-21,Alibaba,175696104,21,12.1008,0.0001,-0.0255
2026-07-21,BAAI,144506765,7,9.9527,0.0001,-0.0508
2026-07-21,Meta,95898629,9,6.6049,0.0001,-0.0374
