date,model_id,author,company,pipeline_tag,downloads_30d,likes,like_ratio,growth_7d,market_share,velocity
2026-08-30,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,Sentence Transformers,sentence-similarity,255115397,5279,0.0,-0.0037,0.172243,155463.4
2026-08-30,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,Sentence Transformers,text-ranking,87066660,305,0.0,-0.0079,0.058784,53057.1
2026-08-30,google-bert/bert-base-uncased,google-bert,Google,fill-mask,77711078,2756,0.0,-0.1927,0.052467,47355.9
2026-08-30,BAAI/bge-small-en-v1.5,BAAI,BAAI,feature-extraction,68802651,539,0.0,-0.0428,0.046453,63588.4
2026-08-30,google/electra-base-discriminator,google,Google,unknown,54807287,157,0.0,-0.0054,0.037004,33398.7
2026-08-30,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,Sentence Transformers,sentence-similarity,46668346,1358,0.0,-0.1451,0.031508,28439.0
2026-08-30,BAAI/bge-m3,BAAI,BAAI,sentence-similarity,37070236,3444,0.0001,0.0225,0.025028,39227.8
2026-08-30,amazon/chronos-2,amazon,Amazon,time-series-forecasting,29603437,415,0.0,-0.2001,0.019987,97701.1
2026-08-30,sentence-transformers/all-mpnet-base-v2,sentence-transformers,Sentence Transformers,sentence-similarity,24592338,1345,0.0001,-0.0176,0.016604,14986.2
2026-08-30,google-t5/t5-small,google-t5,Google,translation,23022430,595,0.0,0.0071,0.015544,14029.5
2026-08-30,Qwen/Qwen3-0.6B,Qwen,Alibaba,text-generation,22539618,1557,0.0001,-0.1068,0.015218,46093.3
2026-08-30,Comfy-Org/MiniMax-H3,Comfy-Org,Community,unknown,21374217,1612,0.0001,0.2743,0.014431,712473.9
2026-08-30,openai/clip-vit-base-patch32,openai,OpenAI,zero-shot-image-classification,20441365,1011,0.0,-0.0039,0.013801,12456.7
2026-08-30,FacebookAI/xlm-roberta-base,FacebookAI,Meta,fill-mask,20419405,888,0.0,0.0962,0.013786,12443.3
2026-08-30,timm/mobilenetv3_small_100.lamb_in1k,timm,Hugging Face,image-classification,18639851,102,0.0,-0.031,0.012585,13786.9
2026-08-30,BAAI/bge-reranker-v2-m3,BAAI,BAAI,text-classification,18191893,1148,0.0001,-0.0221,0.012282,20280.8
2026-08-30,nomic-ai/nomic-embed-text-v1.5,nomic-ai,Community,sentence-similarity,16609854,894,0.0001,0.0042,0.011214,17840.9
2026-08-30,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,Community,text-generation,16560626,20,0.0,0.0186,0.011181,25795.4
2026-08-30,lpiccinelli/unidepth-v2-vitl14,lpiccinelli,Community,unknown,14597452,50,0.0,-0.4578,0.009856,18066.2
2026-08-30,openai-community/gpt2,openai-community,OpenAI,text-generation,14392561,3431,0.0002,0.0154,0.009717,8770.6
2026-08-30,BAAI/bge-large-en-v1.5,BAAI,BAAI,feature-extraction,13777798,718,0.0001,0.0238,0.009302,12733.6
2026-08-30,Qwen/Qwen3-8B,Qwen,Alibaba,text-generation,13657580,1330,0.0001,-0.1082,0.009221,27929.6
2026-08-30,Qwen/Qwen3.6-35B-A3B-FP8,Qwen,Alibaba,image-text-to-text,12940283,360,0.0,-0.0026,0.008737,95149.1
2026-08-30,unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,unsloth,Unsloth,text-generation,12760676,933,0.0001,0.032,0.008615,32387.5
2026-08-30,Qwen/Qwen3.5-9B,Qwen,Alibaba,image-text-to-text,12599700,1876,0.0001,-0.086,0.008507,68850.8
2026-08-30,intfloat/multilingual-e5-small,intfloat,Community,sentence-similarity,12161822,393,0.0,-0.0185,0.008211,10520.6
2026-08-30,BAAI/bge-base-en-v1.5,BAAI,BAAI,feature-extraction,12036178,466,0.0,0.0128,0.008126,11113.7
2026-08-30,jonatasgrosman/wav2vec2-large-xlsr-53-japanese,jonatasgrosman,Community,automatic-speech-recognition,12030940,62,0.0,0.424,0.008123,7331.5
2026-08-30,Comfy-Org/stable-diffusion-v1-5-archive,Comfy-Org,Community,unknown,11988483,119,0.0,0.1392,0.008094,16422.6
2026-08-30,timm/efficientnet_b3.ra2_in1k,timm,Hugging Face,image-classification,11864461,5,0.0,,0.00801,8749.6
2026-08-30,hexgrad/Kokoro-82M,hexgrad,Community,text-to-speech,11762803,6778,0.0006,-0.0676,0.007942,19251.7
2026-08-30,argmaxinc/whisperkit-coreml,argmaxinc,Community,automatic-speech-recognition,11612321,204,0.0,0.0534,0.00784,12718.9
2026-08-30,facebook/opt-125m,facebook,Meta,text-generation,11448106,294,0.0,-0.2387,0.007729,7287.1
2026-08-30,nvidia/Qwen3.6-35B-A3B-NVFP4,nvidia,NVIDIA,text-generation,11202552,573,0.0001,-0.1077,0.007563,119176.1
2026-08-30,Qwen/Qwen2.5-7B-Instruct,Qwen,Alibaba,text-generation,10778217,1568,0.0001,-0.0734,0.007277,15137.9
2026-08-30,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-transformers,Sentence Transformers,sentence-similarity,10169483,491,0.0,-0.0215,0.006866,6197.1
2026-08-30,FacebookAI/roberta-base,FacebookAI,Meta,fill-mask,10002864,638,0.0001,-0.1067,0.006753,6095.6
2026-08-30,Bingsu/adetailer,Bingsu,Community,unknown,9953080,763,0.0001,-0.0173,0.00672,8151.6
2026-08-30,pyannote/speaker-diarization-3.1,pyannote,Community,automatic-speech-recognition,9720801,3230,0.0003,-0.019,0.006563,9558.3
2026-08-30,laion/clap-htsat-fused,laion,Community,audio-classification,9062572,126,0.0,0.1618,0.006119,7025.2
2026-08-30,unsloth/Qwen3.8-27B-GGUF,unsloth,Unsloth,unknown,8839153,3209,0.0004,0.3985,0.005968,552447.1
2026-08-30,Qwen/Qwen3-VL-8B-Instruct,Qwen,Alibaba,image-text-to-text,8613563,1072,0.0001,0.6322,0.005816,26750.2
2026-08-30,google/gemma-4-31B-it,google,Google,image-text-to-text,8457560,3668,0.0004,-0.057,0.00571,49459.4
2026-08-30,Qwen/Qwen3.6-27B-FP8,Qwen,Alibaba,image-text-to-text,8403428,349,0.0,-0.0886,0.005674,64641.8
2026-08-30,Qwen/Qwen2.5-VL-7B-Instruct,Qwen,Alibaba,image-text-to-text,8253677,1688,0.0002,-0.104,0.005573,14230.5
2026-08-30,google/gemma-4-26B-A4B-it,google,Google,image-text-to-text,8247795,1454,0.0002,-0.0921,0.005569,48232.7
2026-08-30,facebook/contriever,facebook,Meta,unknown,8014614,96,0.0,-0.0043,0.005411,4884.0
2026-08-30,coqui/XTTS-v2,coqui,Community,text-to-speech,7904432,3752,0.0005,-0.057,0.005337,7651.9
2026-08-30,Qwen/Qwen2.5-1.5B-Instruct,Qwen,Alibaba,text-generation,7872755,811,0.0001,-0.1207,0.005315,11072.8
2026-08-30,FacebookAI/roberta-large,FacebookAI,Meta,fill-mask,7684478,319,0.0,-0.2622,0.005188,4682.8
2026-08-30,Qwen/Qwen3.5-4B,Qwen,Alibaba,image-text-to-text,7646199,863,0.0001,-0.0125,0.005162,41782.5
2026-08-30,Qwen/Qwen2.5-3B-Instruct,Qwen,Alibaba,text-generation,7513241,555,0.0001,-0.0028,0.005073,10567.1
2026-08-30,openai/whisper-large-v3-turbo,openai,OpenAI,automatic-speech-recognition,7259862,3274,0.0005,-0.0573,0.004902,10415.9
2026-08-30,intfloat/multilingual-e5-large,intfloat,Community,feature-extraction,7208914,1243,0.0002,-0.0413,0.004867,6236.1
2026-08-30,Comfy-Org/z_image_turbo,Comfy-Org,Community,unknown,7000349,850,0.0001,0.1222,0.004726,25363.6
2026-08-30,amazon/chronos-bolt-small,amazon,Amazon,time-series-forecasting,6933938,21,0.0,0.4094,0.004681,10800.5
2026-08-30,Qwen/Qwen3-Embedding-0.6B,Qwen,Alibaba,feature-extraction,6909876,1172,0.0002,-0.0412,0.004665,15287.3
2026-08-30,distilbert/distilbert-base-uncased,distilbert,Hugging Face,fill-mask,6821829,948,0.0001,-0.04,0.004606,4157.1
2026-08-30,farbodtavakkoli/OTel-2.0-LLM-31B-IT,farbodtavakkoli,Community,text-generation,6787271,14,0.0,-0.0215,0.004582,183439.8
2026-08-30,intfloat/multilingual-e5-base,intfloat,Community,sentence-similarity,6683617,383,0.0001,0.0826,0.004512,5579.0
2026-08-30,autogluon/chronos-bolt-small,autogluon,Amazon,time-series-forecasting,6672849,61,0.0,-0.2525,0.004505,10203.1
2026-08-30,meta-llama/Llama-3.2-1B-Instruct,meta-llama,Meta,text-generation,6655517,1591,0.0002,-0.1288,0.004494,9374.0
2026-08-30,openai/clip-vit-large-patch14,openai,OpenAI,zero-shot-image-classification,6557624,2072,0.0003,0.0398,0.004427,3996.1
2026-08-30,cross-encoder/ms-marco-MiniLM-L4-v2,cross-encoder,Sentence Transformers,text-ranking,6537144,28,0.0,-0.1867,0.004414,3983.6
2026-08-30,openai/gpt-oss-20b,openai,OpenAI,text-generation,6520972,4969,0.0008,-0.116,0.004403,16720.4
2026-08-30,pyannote/wespeaker-voxceleb-resnet34-LM,pyannote,Community,unknown,6399743,162,0.0,-0.0352,0.004321,6274.3
2026-08-30,Qwen/Qwen2.5-0.5B-Instruct,Qwen,Alibaba,text-generation,6288902,606,0.0001,-0.0768,0.004246,8832.7
2026-08-30,pyannote/segmentation-3.0,pyannote,Community,voice-activity-detection,6011097,1578,0.0003,-0.0132,0.004058,5607.4
2026-08-30,meta-llama/Llama-3.1-8B-Instruct,meta-llama,Meta,text-generation,5944077,6704,0.0011,-0.0899,0.004013,7699.6
2026-08-30,Qwen/Qwen3.6-27B,Qwen,Alibaba,image-text-to-text,5769310,2282,0.0004,-0.1054,0.003895,44379.3
2026-08-30,ibm-granite/granite-embedding-small-english-r2,ibm-granite,Community,feature-extraction,5678333,78,0.0,0.1489,0.003834,13917.5
2026-08-30,autogluon/chronos-2,autogluon,Amazon,time-series-forecasting,5508107,48,0.0,-0.1109,0.003719,16844.4
2026-08-30,openai/gpt-oss-120b,openai,OpenAI,text-generation,5314695,5136,0.001,0.1022,0.003588,13627.4
2026-08-30,MiniMaxAI/MiniMax-H3,MiniMaxAI,Community,image-text-to-video,5263381,4639,0.0009,,0.003554,164480.7
