date,model_id,company,pipeline_tag,downloads_30d,likes,like_ratio,growth_7d,velocity
2026-06-05,Qwen/Qwen3-4B,Alibaba,text-generation,16946568,627,0.0,0.5487,42051.0
2026-06-05,sentence-transformers/all-MiniLM-L12-v2,Sentence Transformers,sentence-similarity,5826144,313,0.0001,0.394,3746.7
2026-06-05,deepseek-ai/DeepSeek-R1-0528,DeepSeek,text-generation,6147543,2449,0.0004,0.2927,16525.7
2026-06-05,google-bert/bert-large-uncased,Google,fill-mask,5619617,147,0.0,0.2719,3613.9
2026-06-05,google/gemma-3-270m,Google,text-generation,7371685,1033,0.0001,0.2378,24329.0
2026-06-05,Qwen/Qwen2.5-VL-7B-Instruct,Alibaba,image-text-to-text,6278300,1562,0.0002,0.2006,12709.1
2026-06-05,Qwen/Qwen3.5-4B,Alibaba,image-text-to-text,10241893,604,0.0001,0.1916,105586.5
2026-06-05,deepseek-ai/DeepSeek-R1,DeepSeek,text-generation,5673941,13373,0.0024,0.1386,11347.9
2026-06-05,Qwen/Qwen3.6-27B,Alibaba,image-text-to-text,5493041,1617,0.0003,0.1306,124841.8
2026-06-05,Qwen/Qwen3-0.6B,Alibaba,text-generation,22246580,1296,0.0001,0.1263,55202.4
2026-06-05,hexgrad/Kokoro-82M,Community,text-to-speech,13824893,6270,0.0005,0.1237,26333.1
2026-06-05,Qwen/Qwen2.5-VL-3B-Instruct,Alibaba,image-text-to-text,5460967,653,0.0001,0.1104,11054.6
2026-06-05,google/gemma-4-26B-A4B-it,Google,image-text-to-text,11949112,1083,0.0001,0.1075,140577.8
2026-06-05,Qwen/Qwen3-Embedding-0.6B,Alibaba,feature-extraction,8921918,1054,0.0001,0.1021,24376.8
2026-06-05,cross-encoder/ms-marco-MiniLM-L6-v2,Sentence Transformers,text-ranking,72894614,258,0.0,0.0932,46877.6
2026-06-05,BAAI/bge-reranker-v2-m3,BAAI,text-classification,14468308,1023,0.0001,0.0847,17840.1
2026-06-05,facebook/w2v-bert-2.0,Meta,feature-extraction,4332557,217,0.0001,0.0833,4824.7
2026-06-05,facebook/opt-125m,Meta,text-generation,11359522,263,0.0,0.0832,7649.5
2026-06-05,ProsusAI/finbert,Community,text-classification,7344670,1173,0.0002,0.0763,4723.3
2026-06-05,Qwen/Qwen3.5-9B,Alibaba,image-text-to-text,9040873,1525,0.0002,0.0707,93204.9
