date,llm_token_usd_per_m,llm_token_change_7d_pct,llm_token_trend,open_llm_usd_per_m,open_llm_change_7d_pct,open_llm_trend,proprietary_llm_usd_per_m,proprietary_llm_change_7d_pct,proprietary_llm_trend,source
2026-08-12,1.0485,,,0.5123,,,2.2339,,,derived_7d_backfill
2026-08-19,1.08,3.0,up,0.48,-6.3,down,2.33,4.3,up,observed
2026-08-20,1.06,2.6,up,0.48,-5.7,down,2.25,3.0,up,observed
2026-08-21,1.06,4.1,up,0.47,-5.9,down,2.31,7.8,up,observed
2026-08-22,1.04,2.2,up,0.48,-3.8,down,2.35,8.9,up,observed
2026-08-23,1.05,0.2,up,0.49,-1.1,down,2.33,4.3,up,observed
2026-08-24,1.05,-0.5,down,0.49,0.7,up,2.34,4.6,up,observed
2026-08-26,1.07,1.7,up,0.55,15.1,up,2.37,5.3,up,observed
2026-08-27,1.06,-0.2,down,0.55,16.0,up,2.34,1.4,up,observed
2026-08-28,1.06,1.3,up,0.54,13.8,up,2.36,0.5,up,observed
2026-08-30,1.0,-4.8,down,0.52,6.2,up,2.26,-3.6,down,observed
2026-08-31,0.97,-8.6,down,0.52,-5.4,down,2.15,-8.2,down,observed
2026-09-01,0.97,-10.0,down,,,,2.15,-9.3,down,observed
2026-09-02,0.98,-7.6,down,0.52,-4.3,down,2.08,-11.1,down,observed
