release_date,model_name,organization,metr_version,p50_hours,p80_hours,ci_low_hours,ci_high_hours,average_score,model_version
2026-03-05,Gpt 5.4 2026 03 05,OpenAI,METR-Horizon-v1.1,5.6956,0.898,3.1097,12.813,0.743443,gpt-5.4-2026-03-05_xhigh
2026-02-05,Claude Opus 4 6,Anthropic,METR-Horizon-v1.1,11.9801,1.1646,5.322,65.8292,0.788644,claude-opus-4-6_unknown
2026-02-05,Gpt 5.3 Codex,OpenAI,METR-Horizon-v1.1,5.8255,0.9123,3.2008,14.3054,0.745439,gpt-5.3-codex
2025-12-11,Gpt 5.2 2025 12 11,OpenAI,METR-Horizon-v1.1,5.8708,1.1,3.1887,14.3723,0.752875,gpt-5.2-2025-12-11_high
2025-11-24,Claude Opus 4 5,Anthropic,METR-Horizon-v1.1,4.8832,0.8238,2.6757,10.6437,0.73007,claude-opus-4-5-20251101
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-24,Claude Opus 4 5,Anthropic,,4.8151,,1.8146,20.4198,0.74969,claude-opus-4-5-20251101_16K
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-19,Gpt 5.1 Codex Max,OpenAI,,2.6959,,1.2469,5.8045,0.715789,gpt-5.1-codex-max
2025-11-18,Gemini 3 Pro Preview,Google DeepMind,METR-Horizon-v1.1,3.7388,0.9024,2.2811,6.458,0.709822,gemini-3-pro-preview
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-11-06,Kimi K2 Thinking,Moonshot,,0.9032,,0.4247,1.6375,0.591943,kimi-k2-thinking
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-09-29,Claude Sonnet 4 5,Anthropic,,2.0324,,0.934,4.2388,0.673842,claude-sonnet-4-5-20250929_16K
2025-08-07,Gpt 5 2025 08 07,OpenAI,METR-Horizon-v1.1,3.3835,0.6385,1.9035,6.7791,0.693697,gpt-5-2025-08-07_high
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-07,Gpt 5 2025 08 07,OpenAI,,2.2886,,1.1145,4.5186,0.696053,gpt-5-2025-08-07_medium
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
2025-08-05,Claude Opus 4 1,Anthropic,,1.8948,,0.9592,3.4865,0.668069,claude-opus-4-1-20250805_16K
