week_ending,total_T,xiaomi/mimo-v2.5-20260422,deepseek/deepseek-v4-flash-20260423,tencent/hy3-20260706,deepseek/deepseek-v4-flash-20260731,stealth/ox-alpha,z-ai/glm-5.2-20260616,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,openai/gpt-5.6-luna-20260709,tencent/hy3-20260706:free,Others
2025-04-07,2.183,0,0,0,0,0,0,0,0,0,2183122391337
2025-04-14,1.779,0,0,0,0,0,0,0,0,0,1778668570114
2025-04-21,1.905,0,0,0,0,0,0,0,0,0,1905000000000
2025-04-28,1.94,0,0,0,0,0,0,0,0,0,1940000000000
2025-05-05,2.13,0,0,0,0,0,0,0,0,0,2130013097588
2025-05-12,2.155,0,0,0,0,0,0,0,0,0,2155262266704
2025-05-19,2.37,0,0,0,0,0,0,0,0,0,2370000000000
2025-05-26,2.5,0,0,0,0,0,0,0,0,0,2500000000000
2025-06-02,2.37,0,0,0,0,0,0,0,0,0,2370000000000
2025-06-09,2.09,0,0,0,0,0,0,0,0,0,2090000000000
2025-06-16,2.25,0,0,0,0,0,0,0,0,0,2250000000000
2025-06-23,2.36,0,0,0,0,0,0,0,0,0,2360000000000
2025-06-30,2.16,0,0,0,0,0,0,0,0,0,2160000000000
2025-07-07,2.326,0,0,0,0,0,0,0,0,0,2326000000000
2025-07-14,2.599,0,0,0,0,0,0,0,0,0,2599000000000
2025-07-21,3.0,0,0,0,0,0,0,0,0,0,3000000000000
2025-07-28,3.41,0,0,0,0,0,0,0,0,0,3410000000000
2025-08-04,3.459,0,0,0,0,0,0,0,0,0,3459000000000
2025-08-11,3.204,0,0,0,0,0,0,0,0,0,3203655139703
2025-08-18,3.207,0,0,0,0,0,0,0,0,0,3207415603183
2025-08-25,3.726,0,0,0,0,0,0,0,0,0,3725788815064
2025-09-01,4.6,0,0,0,0,0,0,0,0,0,4600000000000
2025-09-08,5.0,0,0,0,0,0,0,0,0,0,5000000000000
2025-09-15,5.12,0,0,0,0,0,0,0,0,0,5120000000000
2025-09-22,5.46,0,0,0,0,0,0,0,0,0,5460000000000
2025-09-29,5.38,0,0,0,0,0,0,0,0,0,5380000000000
2025-10-06,5.02,0,0,0,0,0,0,0,0,0,5020000000000
2025-10-13,4.84,0,0,0,0,0,0,0,0,0,4840000000000
2025-10-20,4.89,0,0,0,0,0,0,0,0,0,4890000000000
2025-10-27,5.51,0,0,0,0,0,0,0,0,0,5510000000000
2025-11-03,5.83,0,0,0,0,0,0,0,0,0,5830000000000
2025-11-10,5.93,0,0,0,0,0,0,0,0,0,5930000000000
2025-11-17,6.27,0,0,0,0,0,0,0,0,0,6270000000000
2025-11-24,7.18,0,0,0,0,0,0,0,0,0,7180000000000
2025-12-01,6.23,0,0,0,0,0,0,0,0,0,6230000000000
2025-12-08,5.77,0,0,0,0,0,0,0,0,0,5770000000000
2025-12-15,5.841,0,0,0,0,0,0,0,0,0,5840500610903
2025-12-22,5.665,0,0,0,0,0,0,0,0,0,5664949208500
2025-12-29,5.32,0,0,0,0,0,0,0,0,0,5319607358428
2026-01-05,6.42,0,0,0,0,0,0,0,0,0,6420000000000
2026-01-12,7.64,0,0,0,0,0,0,0,0,0,7640000000000
2026-01-19,7.49,0,0,0,0,0,0,0,0,0,7490000000000
2026-01-26,8.25,0,0,0,0,0,0,0,0,0,8250000000000
2026-02-02,9.8,0,0,0,0,0,0,0,0,0,9800000000000
2026-02-09,12.61,0,0,0,0,0,0,0,0,0,12610000000000
2026-02-16,13.95,0,0,0,0,0,0,0,0,0,13950000000000
2026-02-23,12.6,0,0,0,0,0,0,0,0,0,12600000000000
2026-03-02,13.8,0,0,0,0,0,0,0,0,0,13800000000000
2026-03-09,16.0,0,0,0,0,0,0,0,0,0,16000000000000
2026-03-16,18.8,0,0,0,0,0,0,0,0,0,18800000000000
2026-03-23,22.72,0,0,0,0,0,0,0,0,0,22720000000000
2026-03-30,26.983,0,0,0,0,0,0,0,0,0,26983000000000
2026-04-06,21.036,0,0,0,0,0,0,0,0,0,21035685456873
2026-04-13,20.558,0,0,0,0,0,0,0,0,0,20558096445717
2026-04-20,21.953,0,0,0,0,0,0,0,0,0,21952515720803
2026-04-27,23.869,0,703926874373,0,0,0,0,0,0,0,23164640463074
2026-05-04,25.743,0,1110899864026,0,0,0,0,0,0,0,24632552936472
2026-05-11,26.906,0,2062273457044,0,0,0,0,0,0,0,24843408915428
2026-05-18,28.92,0,3425801372074,0,0,0,0,0,0,0,25494403538754
2026-05-25,31.808,1462547058328,3108137494077,0,0,0,0,0,0,0,27237063235117
2026-06-01,36.126,2188272406586,3684392865603,0,0,0,0,0,0,0,30253439990718
2026-06-08,44.606,3589670551250,4412513967312,0,0,0,0,0,0,0,36603627504308
2026-06-15,46.648,3941404557942,4934471373992,0,0,0,0,0,0,0,37772029634281
2026-06-22,46.72,4482079077718,4658198982371,0,0,0,2107624510576,0,0,0,35472445621770
2026-06-29,46.72,4381056827095,5339678745733,0,0,0,2578159576426,0,0,0,34420843114784
2026-07-06,52.62,5947323873332,5223444016292,0,0,0,3191558656919,2040782485317,0,6133686335963,30082873331485
2026-07-13,62.774,9319513129034,5384952769104,0,0,0,3671677452839,3145685021734,0,11516528897206,29735587069701
2026-07-20,58.041,10463362117544,6370682795644,3944653512792,0,0,3287642816286,2339405617885,0,1759474080557,29876276475272
2026-07-27,56.789,6304949281665,7220350124001,4824580734626,0,0,2890093349264,2427355339353,1945077160070,0,31176182922942
2026-08-03,69.047,5392889601768,5880433122513,8050128586848,8826076422544,0,3486952924752,2406946248889,4434794606781,0,30568316333837
2026-08-10,75.341,3791573036238,4830210441044,9953312056288,11180297061770,0,4328860989331,0,5311298774780,0,35945028725380
2026-08-17,93.378,9939125656206,5458793250920,8206166005262,11575903419310,11568381011704,3417049669494,4747004837950,4909362392538,0,33555737501944
2026-08-24,68.018,6168252825179,2977677238640,4151428951854,7503789965628,15680990601876,2017969051158,3071678720597,3156818558102,0,23288929655801
